 ,Area,Mean,Min,Max
1,429,5141.221,3537,6816
2,279,4665.792,3521,6133
3,449,4417.795,3536,5724
4,345,4457.783,3512,5794
5,292,4562.476,3526,5891
6,258,4487.190,3515,5749
7,274,4241.150,3512,5296
8,270,6093.722,3512,8467
9,322,4896.879,3525,6202
10,280,4543.536,3518,6183
11,332,4533.639,3524,5672
12,272,4281.934,3520,5295
13,249,4018.028,3515,4661
14,332,4111.241,3513,5266
15,355,4170.383,3512,5346
16,328,4543.558,3521,5513
17,311,4615.100,3516,5983
18,337,4794.050,3527,6624
19,281,4388.541,3513,5393
20,350,4783.229,3521,6502
21,247,4203.850,3514,5097
22,367,4597.068,3518,5912
23,344,4751.459,3518,6531
24,481,8388.056,3522,14583
25,259,4634.073,3523,5788
26,411,5921.414,3512,10929
27,423,5113.631,3513,6989
28,286,4264.594,3519,5172
29,339,5592.652,3559,7299
30,334,4316.287,3522,5170
31,410,7608.659,3527,12828
32,343,4866.851,3534,6525
33,478,4965.732,3527,7033
34,280,4533.404,3521,5624
35,273,4337.114,3517,5229
36,325,4364.142,3512,5602
37,254,4808.563,3535,7241
38,275,6675.884,3549,10128
39,286,4213.909,3514,5360
40,328,4162.988,3523,5144
41,347,5111.963,3513,6915
42,329,4220.155,3517,5436
43,318,4104.050,3514,5007
44,190,3985.442,3515,4976
45,287,4251.669,3516,5222
46,452,4960.385,3524,6473
47,337,4917.564,3526,6586
48,475,5128.400,3520,7505
49,346,4560.014,3530,5780
50,282,4989.092,3528,6651
51,344,4588.099,3516,5908
52,376,4053.434,3512,4944
53,291,6035.595,3519,8402
54,237,3885.814,3513,4580
55,334,4457.515,3520,5908
56,366,4680.265,3517,6224
57,347,5249.455,3521,7204
58,411,5673.270,3520,7321
59,367,4412.087,3515,5553
60,450,5170.931,3512,6662
61,327,6005.339,3551,8046
62,316,5445.747,3525,7168
63,392,4619.383,3528,5876
64,226,5356.102,3530,7973
65,338,5460.920,3519,6973
66,313,4304.652,3551,5327
67,382,5570.196,3524,7513
68,297,5207.451,3521,6851
69,272,4366.140,3512,6052
70,334,4827.796,3517,6582
71,296,4068.324,3530,5017
72,347,4906.329,3558,6328
73,466,5698.476,3566,8142
74,265,4150.898,3524,5358
75,225,4403.084,3518,5493
76,295,4393.139,3544,5478
77,432,5433.266,3526,6991
78,330,4173.506,3515,5067
79,311,5810.473,3575,7765
80,312,4256.378,3512,5583
81,340,4372.776,3516,5529
82,281,4258.395,3514,5216
83,395,4117.314,3513,5300
84,252,7012.063,3728,9837
85,467,5605.722,3518,7628
86,360,4911.539,3515,6751
87,243,4266.444,3519,5185
88,410,5579.851,3530,7197
89,177,3945.621,3513,4602
90,364,4862.063,3527,6653
91,266,4413.650,3517,5423
92,328,5419.381,3546,7672
93,218,4052.739,3522,4903
94,308,4685.617,3521,6035
95,312,5748.013,3566,8380
96,470,5913.930,3520,7876
97,33,3647.909,3512,3828
98,342,4765.082,3526,6228
99,381,4795.732,3518,6163
100,160,3767.469,3513,4270
101,365,4888.608,3512,6575
102,307,4305.866,3520,5453
103,275,4444.582,3529,5838
104,410,4480.268,3517,5630
105,351,6272.886,3544,9113
106,375,4365.960,3536,5213
107,272,4840.669,3520,5924
108,308,5542.188,3518,7928
109,452,5753.223,3517,8146
110,400,5441.435,3529,7081
111,397,5756.710,3514,7755
112,369,4662.678,3529,6004
113,344,4921.320,3572,6383
114,227,4566.894,3523,6289
115,376,5209.801,3512,7561
116,306,4556.493,3522,6313
117,399,4755.890,3542,6451
118,335,4269.779,3515,5669
119,206,4142.238,3517,4949
120,247,4648.874,3534,5773
121,247,4191.931,3514,4926
122,392,4693.541,3538,5942
123,333,5927.667,3521,8543
124,369,5218.908,3535,6654
125,253,4556.767,3532,5859
126,412,4396.417,3513,6062
127,322,4888.652,3530,6494
128,360,5709.444,3522,7516
129,454,4598.084,3524,6225
130,230,4413.930,3544,5629
131,471,7550.533,3518,11092
132,229,3932.751,3520,4868
133,343,5320.134,3546,7019
134,347,5682.110,3518,7630
135,375,4833.763,3516,6351
136,339,4668.708,3515,5821
137,265,4369.513,3515,5848
138,314,6224.618,3521,9764
139,159,4072.962,3529,5099
140,422,5352.377,3552,6997
141,155,5704.355,3532,9092
142,187,3804.807,3516,4370
143,238,4327.618,3527,5369
144,269,4584.862,3534,6030
145,370,5367.078,3620,7637
146,267,4350.419,3539,5427
147,372,6093.118,3530,9579
148,264,4585.909,3513,6134
149,331,6064.145,3522,8521
150,190,3962.226,3521,4653
151,252,4656.794,3552,5785
152,254,4099.339,3514,4825
153,417,4274.367,3513,5361
154,381,5046.058,3532,6602
155,420,7217.683,3550,10854
156,425,4649.946,3515,6428
157,470,5106.174,3544,6876
158,312,5645.635,3516,8123
159,379,4518.747,3519,5721
160,401,5184.441,3552,6628
161,315,4981.010,3527,7704
162,190,3833.995,3517,4477
163,310,4424.361,3515,5667
164,291,5174.103,3521,7181
165,339,5106.189,3554,6718
166,412,4962.345,3514,6154
167,397,4601.793,3542,6491
168,265,4252.291,3514,5573
169,347,4874.176,3521,6669
170,317,5910.259,3532,8536
171,394,5051.203,3543,6536
172,268,4914.787,3521,6320
173,484,6099.219,3513,8177
174,308,4715.175,3538,6207
175,366,5604.342,3543,8128
176,376,5327.242,3515,7286
177,384,5070.404,3512,6386
178,398,5442.116,3514,7447
179,316,4337.000,3533,5566
180,366,5832.713,3546,8704
181,264,4479.648,3516,5697
182,332,4630.913,3516,6521
183,237,4386.949,3519,5562
184,274,4221.277,3518,5520
185,356,4503.789,3514,5772
186,353,4699.204,3515,6365
187,314,5440.841,3519,6679
188,375,4924.483,3519,6861
189,251,4576.235,3525,5798
190,299,4538.880,3515,5696
191,364,5202.725,3533,7175
192,181,3952.608,3513,4738
193,337,4624.151,3515,5913
194,388,4833.884,3520,6971
195,377,5374.735,3521,7235
196,370,4652.100,3519,5873
197,418,5030.878,3525,6961
198,360,5385.444,3522,7984
199,474,5255.082,3525,7142
200,350,4753.083,3512,6388
201,428,4360.589,3523,5657
202,213,4057.376,3518,4980
203,392,5627.798,3534,7214
204,366,5192.423,3524,7272
205,254,4243.669,3524,5311
206,306,6682.686,3544,9754
207,453,4567.881,3519,6110
208,410,5229.856,3517,7043
209,356,5185.691,3519,6916
210,325,6192.649,3564,9457
211,356,5543.511,3527,7598
212,237,4227.215,3530,4996
213,282,5475.078,3552,7348
214,329,4313.234,3515,5473
215,230,9562.691,3528,16481
216,325,5518.465,3564,7275
217,337,4985.036,3528,6814
218,313,6264.358,3575,8818
219,476,5141.126,3523,6890
220,235,4530.885,3538,5329
221,376,5096.364,3530,6870
222,331,5830.692,3554,7368
223,443,5494.244,3517,7472
224,237,4365.722,3522,5471
225,353,4353.428,3512,5662
226,405,5139.686,3525,6896
227,347,9683.040,3516,15047
228,313,4922.690,3514,7174
229,384,5698.310,3549,7810
230,358,5104.503,3523,6703
231,338,4749.917,3517,6384
232,250,4483.052,3513,5685
233,286,4233.878,3520,5342
234,322,6146.882,3516,9213
235,218,3976.826,3517,4755
236,285,4999.193,3529,6817
237,425,4700.311,3512,6515
238,239,3929.929,3513,4538
239,249,4791.378,3546,5794
240,323,4649.854,3520,5851
241,224,4172.737,3524,5026
242,419,5216.325,3528,7014
243,470,9206.568,3529,13735
244,410,4844.659,3517,6132
245,209,7324.837,3556,11348
246,264,4297.140,3513,5468
247,284,5071.708,3515,6880
248,313,4152.748,3512,5374
249,374,4313.730,3519,5735
250,355,5430.014,3560,7121
251,330,4609.042,3512,6009
252,246,4535.154,3533,5611
253,266,4391.887,3513,5386
254,367,5721.872,3519,7474
255,364,5822.486,3517,7596
256,370,4274.624,3512,5401
257,274,4256.365,3534,5067
258,436,7380.663,3524,13212
259,222,3964.905,3524,4733
260,395,5112.871,3522,6641
261,434,4722.590,3514,6084
262,227,9663.577,3527,17382
263,369,6289.772,3531,9933
264,318,4591.236,3516,6102
265,218,6914.417,3537,11086
266,432,5220.361,3518,6893
267,314,5697.825,3514,7506
268,339,4527.451,3531,5871
269,268,4339.041,3512,5150
270,217,9584.309,3528,16141
271,218,4096.803,3522,4958
272,225,4115.551,3515,4922
273,234,4150.504,3512,4911
274,246,4599.846,3544,5433
275,246,4528.110,3517,5996
276,380,4876.968,3556,6305
277,244,4979.529,3522,6456
278,226,3913.385,3512,4904
279,260,4320.869,3522,5403
280,381,10403.979,3518,22436
281,256,4443.199,3533,5419
282,329,4423.191,3518,5593
283,223,4672.350,3533,6089
284,420,5441.986,3553,6821
285,222,9496.239,3522,17706
286,260,4133.435,3520,4901
287,480,7253.683,3581,11059
288,468,4542.173,3517,5974
289,327,4241.428,3535,5247
290,231,4966.749,3516,6883
291,454,5067.978,3548,7898
292,243,4416.909,3530,5631
293,243,4016.749,3515,5032
294,276,4908.949,3525,6265
295,285,4387.979,3523,5466
296,382,4685.165,3513,6065
297,391,5122.529,3514,6932
298,326,6465.923,3520,9254
299,337,6155.047,3544,8582
300,218,4638.468,3542,5897
301,216,5120.583,3573,6367
302,315,4387.057,3522,5354
303,264,4292.064,3513,5327
304,370,4658.759,3518,5906
305,327,4423.278,3512,5730
306,234,5973.889,3574,7805
307,225,4589.538,3523,5861
308,300,4045.507,3515,5104
309,279,4046.796,3516,5193
310,291,3939.887,3512,4609
311,284,4271.271,3512,5533
312,267,5140.854,3528,6887
313,494,4556.540,3521,6225
314,355,4937.665,3543,6489
315,239,4163.552,3517,5007
316,349,5059.834,3512,6783
317,218,4944.995,3541,6464
318,323,6412.297,3521,8950
319,298,4316.785,3515,5385
320,339,6126.475,3530,8275
321,301,4647.219,3531,6078
322,434,5276.067,3572,6852
323,287,3913.171,3512,4534
324,300,5253.327,3556,6786
325,149,10155.389,3536,22084
326,231,4363.632,3516,5490
327,238,4553.008,3513,5793
328,388,5203.670,3514,7022
329,469,5242.194,3522,8260
330,266,4688.680,3558,6307
331,305,5089.938,3517,6442
332,291,5409.038,3555,7343
333,251,4416.618,3528,5559
334,159,9390.346,3536,19261
335,303,5203.673,3515,7272
336,352,4875.409,3540,6453
337,245,4288.449,3521,5717
338,477,6124.669,3516,8755
339,302,4533.099,3535,5784
340,274,5910.172,3614,7954
341,358,5208.978,3529,6749
